loan_id,application_date,age,income,loan_amount,credit_score,employment_length,debt_to_income,num_late_payments,loan_term,monthly_income,annual_income,default
1,2019-01-01,69,48817.05781014208,10962.94408653128,639.7371322408986,1.4054901169587666,0.0773031161919267,3,36,2795.0988694387124,38020.27712026429,0
2,2019-01-02,50,50058.98409002196,16425.51417617453,588.9388559063052,8.697361723933454,0.4639568443226252,0,12,2257.403577522636,56879.89910587416,0
3,2019-01-03,31,48281.78027867494,21697.064639348588,651.8150830480554,,0.3358311928336995,4,12,2012.4844271993504,48425.33188549067,1
4,2019-01-03,41,20252.557910444648,13974.414073182774,721.8423885126421,6.884294790642328,0.4129414958036177,0,60,3162.550079925132,68771.66992439292,0
5,2019-01-03,39,41253.81048076716,9698.60758452392,581.2677300221332,2.9463172700698386,0.220417555911535,0,36,3504.0222979825,38630.07325340963,0
6,2019-01-04,69,48960.407195994994,22936.85936921209,581.2690434440656,8.10613988456048,0.5419197397486626,3,60,5174.822724553032,17769.406420201234,0
7,2019-01-04,68,54282.40335286188,13229.214652890572,726.3370252405913,3.7337991454724215,0.5062586996088276,2,36,3487.4967803569266,45109.9212996872,1
8,2019-01-05,54,49424.4207863141,19415.754907079205,661.3947783322327,5.092926579707088,0.4375316454517831,1,24,4100.540825592257,38924.88763128882,0
9,2019-01-06,69,54477.01186546678,14200.819365868128,562.4420491252039,,0.3305724129704838,1,24,2357.74834845306,48017.31229771856,0
10,2019-01-06,40,56010.697622594496,23680.33454378448,643.4048034868772,8.762770354040441,0.4369785927942698,1,12,3385.4595894947383,49939.10780012806,0
11,2019-01-08,23,41572.9754961792,24865.94385988602,562.9265845750031,,0.2439661148018976,3,24,3508.431402754416,31981.77227356116,1
12,2019-01-08,36,47477.952882335085,24586.403514143534,562.7416197143795,3.1506671732374745,0.4783333488531067,1,60,3157.67017352786,24864.91512212267,0
13,2019-01-09,29,54995.15645360558,10584.991590513624,619.3569817252827,,0.5974221341485881,0,36,3306.059837245926,37810.84974981421,0
14,2019-01-09,43,45851.88307401395,10503.059263392484,446.9375804273761,0.238991024905534,0.5105915839968779,1,12,3491.1064178584656,5000.0,0
15,2019-01-09,46,57984.9622248324,21989.910544730657,462.00657339895736,,0.2405596295288885,5,24,3934.629349701228,41210.00888179327,1
16,2019-01-09,31,53117.44492597343,14483.376970777965,555.0169976607222,6.1009085699698105,0.4042125975909654,1,12,4794.730887600535,33888.42887295754,0
17,2019-01-09,34,30513.22909073701,14726.379268550148,518.9735103732461,7.007652460800575,0.1560287684362028,0,12,501.3985937836957,52925.12566739021,0
18,2019-01-09,47,20410.00141397156,9440.697779551076,625.1397866076219,6.001461213239827,0.4358585466763513,3,36,4725.505226006692,10212.27199685327,0
19,2019-01-10,24,40289.612938391954,26275.413036508064,527.3580739583031,4.70698718755979,0.4175905119293808,2,60,1194.823187935862,40095.179647009565,0
20,2019-01-10,38,22283.043051420256,23323.941101838573,487.0157038931767,,0.0695275490701753,1,60,3719.2868596292737,63643.36427075709,0
21,2019-01-10,18,41246.88726818874,14048.150468400392,717.2519015137243,,0.1757324234131454,1,48,6277.869544693925,50131.01991926528,0
22,2019-01-10,66,39888.96405999023,9836.85524329512,581.9378959610772,,0.3075291654884349,4,60,3280.157972801106,54710.07993531794,0
23,2019-01-12,55,59513.66856124836,9482.706260251878,605.4022563750339,,0.304871037928876,1,24,3558.357257601636,45096.00283944921,0
24,2019-01-12,21,47575.93999425326,16065.90629269155,486.0201451029235,2.9488064118598727,0.1685784596871792,2,48,2945.508690932749,15076.988951490108,0
25,2019-01-13,63,54669.02812430646,18094.159224246352,556.4493820379854,1.972673535903432,0.4083468094028275,2,48,4167.411267414504,42497.93759653716,0
26,2019-01-14,25,32656.07676326841,8100.626242116427,608.8738071767893,6.293556260106353,0.3877210413410767,1,48,3786.0940241330095,46127.34040096006,0
27,2019-01-14,35,62945.02411431447,5041.027588436094,507.9205138062158,1.3145376870467462,0.320859630203222,4,48,2488.2742773594946,23826.631837138397,1
28,2019-01-14,69,53404.72144183658,15637.233787140252,630.0558414676537,1.3839908200405642,0.2366312749762455,1,60,3190.392014352307,38101.69234961,0
29,2019-01-15,62,46411.57342125079,21917.302142885324,551.9489048064956,3.5472493386852184,0.5073060689624845,0,48,1935.2877036118173,5000.0,0
30,2019-01-15,25,12901.608906481764,15590.6606383822,576.6645000165379,6.5215567651285165,0.5983110669632443,2,24,3184.65655679294,34988.527360872875,0
31,2019-01-16,48,57681.09664007876,13005.057293215292,551.8634710216483,,0.2774657774230194,0,24,2809.1180996874123,33454.36085775546,1
32,2019-01-16,48,66600.02585506492,5959.996991260348,748.1822547607151,5.752402446938159,0.2581749624267768,3,12,3504.009522821729,61033.59033420022,0
33,2019-01-17,45,40169.29334740478,9928.096400264538,598.9202220209653,6.489869935908342,0.4236811498117994,0,24,2445.9409619059093,30951.6534605696,0
34,2019-01-18,65,40476.23136435689,22027.303836061237,515.383125683528,7.947950741337147,0.296295593037952,5,12,3065.293720725584,36004.64412106782,0
35,2019-01-19,54,32249.84339449047,4974.335670065029,665.8035929682551,7.668240681241951,0.3290904199005148,3,24,3344.2993023185136,38811.56834084787,0
36,2019-01-19,20,15523.969003334289,29181.78481404708,502.3325080023182,,0.4609479727587007,1,48,3431.355455779156,31145.199641044303,0
37,2019-01-20,62,31568.59284777721,15680.569113589065,616.7090876003805,7.613544585771471,0.063596586873906,2,36,3676.187977965636,50796.87132748238,0
38,2019-01-23,32,64891.292482873134,2309.3193989448773,443.226390089618,8.095389984455071,0.5477453487279004,2,48,3115.623751732101,10114.119792146796,1
39,2019-01-23,21,56185.17043620304,19025.89923101778,493.7451160881256,,0.3609020786494011,2,60,2349.9662596687126,57048.65056216194,1
40,2019-01-23,52,28409.370098035288,18601.773065781992,615.7488988695299,,0.2882760283156729,1,12,3435.924924145306,39821.82822526196,0
41,2019-01-26,51,31324.193174148408,11499.05580570768,659.0773263996329,,0.3366148768667826,4,36,3109.76105133863,59524.70702193139,0
42,2019-01-26,53,72026.23013395195,22514.427068498702,613.7094624951976,,0.3443644032530777,1,24,4614.1403859673455,5000.0,1
43,2019-01-27,23,24697.671662096694,10041.178973142489,590.7481374089408,0.0,0.0903198044832611,4,48,4771.760209471283,5000.0,0
44,2019-01-27,21,29268.61719134883,20055.89706539155,575.9117043528569,6.286533645237581,0.5742407341179854,0,12,1618.2327890370564,35620.3216062175,1
45,2019-01-27,66,33556.27531612425,14721.759441048463,481.7182407706058,,0.3561988448405927,2,12,4104.776518855521,47588.73082000841,0
46,2019-01-29,47,19629.84911437741,12731.302718244931,542.4124633284233,7.966024398724462,0.4164503195671062,2,24,4355.513534695719,31676.009259952385,0
47,2019-01-29,56,31937.34593732434,25743.9606219224,563.148898323217,6.131449515875863,0.4927324655861064,1,12,1651.0442135031587,48757.68745123773,0
48,2019-01-31,35,32165.375087904624,22868.36633926051,684.5697780975132,5.444156412756196,0.1968256313659549,4,24,4057.674356974226,54719.64636164445,0
49,2019-02-01,39,26466.25186803598,6140.313757201831,627.4894631654769,3.8093728614993454,0.4210207848552842,2,24,4453.276980541209,49989.99320532052,0
50,2019-02-02,27,59919.56753961864,18042.414419558627,458.9567875709813,4.656472602595914,0.3098538363651809,4,48,2146.275035985096,41549.02756570122,1
51,2019-02-02,66,22497.56072618337,30147.61858259615,625.9267175515836,,0.477015616282474,2,12,3037.906304432035,41434.042744810846,0
52,2019-02-02,46,37871.11114589679,25951.076682479463,569.1934175666947,,0.0309158869472757,3,60,3566.2332531086104,30778.07370417424,0
53,2019-02-03,40,26844.98255902134,7725.042618910227,545.8462399755233,7.711222810872221,0.3351358549638096,3,60,4046.405908457431,39169.38513694333,1
54,2019-02-04,21,36850.39057939713,27767.83788029812,648.9341031072694,3.4421149242052094,0.2595769016324057,1,48,2097.784070273829,24636.53669147909,0
55,2019-02-05,36,26148.02505163071,22440.29757778625,682.4799617996761,8.250814397619436,0.4148394425951233,0,48,4779.591705602848,28229.057989584137,1
56,2019-02-06,43,41138.41947760138,6611.420254014007,674.5024095292958,,0.4205066281052303,1,24,796.6481707513298,47715.46299320133,0
57,2019-02-07,24,44821.94630954474,16661.39824387398,532.862598142189,5.608345605142308,0.243856115776696,2,60,4988.015269490207,33056.78302702976,0
58,2019-02-08,30,61032.728107020856,18821.29710476401,575.2630099319028,,0.2431739203735934,2,12,4021.167668070732,28936.571587460006,0
59,2019-02-08,20,31171.075231565883,6384.546029944488,626.5010745122851,4.704668575790333,0.3334001947164006,4,60,2556.118944404828,46738.465197774894,0
60,2019-02-09,57,64267.400853519706,20648.75307257504,678.0436101697887,,0.2155036659027187,1,48,4413.840636717184,45698.494853956254,1
61,2019-02-10,28,27895.326000400957,34438.048206429165,561.6660609723768,6.528067791603579,0.476297554317819,3,48,2023.5845288306712,36770.50621827083,0
62,2019-02-10,33,36429.71379326663,25921.80854144134,585.1472818668947,5.675563692705211,0.294618919932883,4,24,3477.0034013256773,37765.96853917543,0
63,2019-02-11,37,66471.09628662694,16295.906749249678,511.49320207951774,9.235886017848983,0.0,4,12,3631.464425594077,46239.21834819861,0
64,2019-02-11,68,83544.12442758013,12749.035715782056,504.3034700735464,,0.2937766915067291,1,48,3628.501850782101,54534.35674575836,0
65,2019-02-12,40,65289.048309359976,17627.10833242402,665.0020657915359,4.523572626892979,0.1942184268734041,2,12,2283.6863869391505,43016.28488730642,0
66,2019-02-12,40,36646.12330144198,7198.257651056001,708.4992022856659,3.5008794545418853,0.1053086276808581,3,60,2713.236867886362,22119.491344343314,0
67,2019-02-13,49,47723.12854494191,11179.641661319769,594.2391902735733,2.4273654826919504,0.1643860042666141,0,24,3491.764416021853,36678.58760854823,0
68,2019-02-13,58,50239.55321819335,1000.0,680.2826318313619,0.4140531044159212,0.3664112707749455,1,60,2424.90365462511,33892.75243309874,0
69,2019-02-13,59,45181.35728560707,18476.476375307186,628.9308820038108,4.342739005364832,0.5492961242372346,2,48,3672.649326179093,24205.20840438331,0
70,2019-02-13,55,24882.30176399286,12299.992920088673,548.39041963159,,0.3969776710797469,3,48,2565.67587305011,47468.99148403151,0
71,2019-02-13,20,43518.737006130206,19944.411702705384,628.9116484406732,4.559362486714195,0.259024491767639,2,12,4583.333365929888,48622.78869093001,1
72,2019-02-15,69,32412.31496120567,15958.159852325987,723.0429253172775,,0.4183856292756054,1,48,5286.689521547003,50893.1263255894,1
73,2019-02-15,25,25473.80929435,6913.555435905586,597.1339168712038,5.214486027372584,0.2811364534671512,1,12,2961.5031150117597,25136.30568876865,0
74,2019-02-15,55,35329.4613809351,16603.91204013437,725.1714924651205,,0.2458099446255283,0,36,4483.656784545965,42361.7640561876,0
75,2019-02-15,57,44729.972059666376,9292.239605685863,390.4203916728204,,0.1768455997650523,2,48,3067.952656362584,39905.871507338095,0
76,2019-02-18,31,55020.74718490972,28243.46464722495,665.7522003500179,,0.0872256789872421,2,60,2162.794337406654,44611.04640012829,0
77,2019-02-18,25,36191.075349836254,8252.116029783378,606.9637654590537,0.2589456561932657,0.2915114440160832,1,60,2801.1861576393803,41945.89737247289,0
78,2019-02-18,28,38820.85297370114,11239.410241536352,576.0794119627305,,0.3737080234880197,2,12,3440.2955092786,39811.810826255416,0
79,2019-02-18,59,52058.93919377312,6891.219595914135,607.3408621228402,2.359552920039823,0.3355064494977665,3,36,1099.6362527994936,38009.143607881786,0
80,2019-02-19,59,41063.07805713044,6198.204962553129,440.9944868319286,3.228497057108413,0.2876049608078962,2,48,4115.404285140204,56602.60915038281,0
81,2019-02-22,60,45723.27363833891,15240.503705465972,582.426248972999,8.416082323461012,0.2081380908954828,2,24,3440.8593945037883,27072.78988721071,0
82,2019-02-23,50,41169.52708290913,5036.078359048404,628.5690057209397,0.4967084898888947,0.4412369287527452,3,24,4584.013280169776,37402.43693852427,1
83,2019-02-24,32,43040.97532359534,13496.846213690887,718.2315235793213,9.524407246316464,0.1524302120080122,2,60,4093.5052755475313,56220.560002089405,0
84,2019-02-24,54,23814.63311098152,18440.17659320137,558.5383825381082,2.5826616351250884,0.4664041870765212,2,48,3483.268729788193,27834.161139528864,0
85,2019-02-24,31,41834.90029247284,11610.847923095704,535.320511768545,1.267969953991661,0.1996674471609912,1,24,2888.539664146505,28598.6810838402,0
86,2019-02-25,43,61417.93573127943,1000.0,559.859436513237,,0.2371347143970447,4,12,5236.910485462067,51009.11416677714,1
87,2019-02-26,69,42534.87147121497,25671.691138314654,673.2321694161659,9.497052947876467,0.1299822214076484,5,48,6045.674191878375,18641.29239029436,0
88,2019-02-26,25,27493.735872434205,17132.66668342735,626.3000887727748,2.863120708114897,0.2747896779671545,1,60,2909.396577008569,49909.46684539741,1
89,2019-02-27,66,62147.95056179054,17228.592211505245,557.6191836986369,,0.4962968687716967,1,36,4636.200175461522,32655.48131129555,0
90,2019-02-27,21,50820.57516683138,13143.498491215994,641.0613946490685,,0.4273442132665934,4,12,2449.896259626705,46150.00923280634,1
91,2019-02-27,53,51514.41643401032,21487.14420603603,607.7662039478432,,0.4967633168042052,2,12,2598.725891222008,21688.981494165604,0
92,2019-02-28,35,51107.8343345865,22503.96276072957,677.4915992426311,3.66148147963844,0.4283213818900903,4,48,2850.5271439602097,57776.143998375526,0
93,2019-02-28,44,23104.444057825214,23303.76716563496,543.8357524898119,,0.1844495257204446,3,36,4189.18669284127,21741.42025165686,1
94,2019-03-01,36,49717.07457926236,17149.783990263415,573.7870282721785,,0.3003816163508663,2,12,1989.6917154095108,50874.25530319981,1
95,2019-03-05,20,60769.45687264815,3992.19851747362,568.6313477494274,4.670008673471986,0.2329701306323806,2,36,5270.788617088627,22368.064243360222,1
96,2019-03-05,26,32796.974119824445,18241.38035677916,482.9188041494305,3.5040065499131057,0.5495862356058561,0,60,4505.67365504962,67124.51306633596,0
97,2019-03-06,56,11070.794044198592,17139.464279603315,623.689622165166,10.906945132397494,0.1704817030360532,2,12,4160.227340119434,38929.27327217306,0
98,2019-03-06,19,45483.57331957207,10610.803502876,620.8844217743912,13.376179624352972,0.4840546534083666,0,24,2966.065000829972,69262.85642495475,0
99,2019-03-06,26,40491.214712941,8585.151243652388,600.4090765313969,2.349614914752288,0.4839430805163153,4,60,4370.192820654261,27716.687688840106,0
100,2019-03-07,23,16785.767299606687,19344.306885985687,581.2330293299882,1.7857493601154153,0.6244430302574131,3,60,416.6666666666667,33360.23955926807,1
101,2019-03-07,55,49080.67833720283,14393.306238038243,486.7703406359669,5.122335997355134,0.2885470111055753,3,12,3884.460037698957,58160.78805598254,1
102,2019-03-07,45,47954.38538598915,11879.034484628852,566.3483741787713,0.0,0.4568483239370243,0,24,3533.485917911765,18607.05967337326,0
103,2019-03-07,65,18007.913000625376,28379.248256961266,572.5828386778585,5.144897581806146,0.6922477754808264,4,36,975.5638768109652,29511.00016195087,0
104,2019-03-08,51,68339.6083356798,20372.3354676119,535.8178184622705,11.021558650957823,0.2573537484599454,2,24,3841.149561748544,47426.02644533998,0
105,2019-03-09,46,51266.81786170722,18476.290716187865,587.0971430667192,,0.119743962870146,1,60,4071.947990678424,24718.29134955501,0
106,2019-03-10,65,11646.097049692436,24747.45825101518,632.3240685451631,,0.0679984949138354,1,12,1016.1674022906104,47827.26133028567,0
107,2019-03-10,20,52282.96098377659,17643.03054209346,750.8948720968424,9.40803421544159,0.4569068043291996,3,24,1849.8690612682324,42556.06577532578,1
108,2019-03-12,33,51847.39105626529,9367.15403070237,613.9662250265471,2.4152400586603973,0.0675274687912124,2,24,5913.819773147022,17295.315643867238,0
109,2019-03-13,61,61225.12096428792,11883.24503573082,620.6040312578211,,0.2941521420593115,1,60,3100.3914007052504,54516.531819752,0
110,2019-03-15,52,30641.861922126474,20855.54170766025,594.0443267387067,6.062230411344109,0.415596978055844,2,36,4552.865907706318,21063.503602081462,0
111,2019-03-15,28,52499.54580010446,19998.710417296323,446.4983027760767,7.186653292384404,0.3777763305244871,1,24,4741.835738695428,51569.186454594055,0
112,2019-03-15,60,36450.22141955031,18570.50745181182,597.8788899640626,,0.4138167296276258,2,24,3825.754350827418,41927.13097366421,0
113,2019-03-15,40,31652.728447918336,5898.383984564081,604.8184167952821,8.367499390578296,0.383343478370128,3,48,4604.885022319932,33174.81302941387,0
